Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.0869
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.5374
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	57.9706
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2517
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	12.9496
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.0045
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.0533
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0531
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8871
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	29.9814
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.2209
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0509
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.3448
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.3444
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.1992
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.2001
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.3811
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.3808
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	17.8529
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.3808
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6438
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.6295
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2714
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	17.8529
